sweep,camera,fps,noise_px,radius_noise,dropout,tap_px,physics,i,speed_kmh,length_m,line_m,restitution_true,n_dets,truth,calib_reproj_px,estimator,ok,verdict,verdict_k0,verdict_k0.5,verdict_k1.5,verdict_k2,bounce_observed,y_err_cm,z_err_cm,sigma_y_cm,sigma_z_cm,contact_x_err_cm,contact_y_err_cm,speed_err_kmh,rms_px,restitution
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,246,118.2,1.85,-0.172,0.539,35,umpires_call,2.96,parabola,True,umpires_call,umpires_call,umpires_call,umpires_call,umpires_call,False,1.4835,10.3186,11.7248,13.0086,167.8724,2.1239,71.8213,4.5465,0.55
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,247,82.7,3.86,0.316,0.536,50,not_out,2.04,anchored,True,not_out,not_out,not_out,not_out,not_out,True,7.0691,10.0844,4.0984,8.4195,8.7546,2.7227,15.6483,1.7284,0.5991
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,247,82.7,3.86,0.316,0.536,50,not_out,2.04,parabola,False,no_verdict,no_verdict,no_verdict,no_verdict,no_verdict,,,,,,,,,,
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,248,65.9,9.34,-0.136,0.515,61,not_out,2.98,anchored,True,not_out,not_out,not_out,not_out,not_out,True,1.7703,0.0326,1.3612,2.4949,8.6677,0.9978,4.3609,1.0817,0.4923
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,248,65.9,9.34,-0.136,0.515,61,not_out,2.98,parabola,False,no_verdict,no_verdict,no_verdict,no_verdict,no_verdict,,,,,,,,,,
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,249,134.0,4.42,-0.376,0.418,32,umpires_call,2.77,anchored,True,umpires_call,umpires_call,umpires_call,umpires_call,umpires_call,True,0.4894,2.4849,0.6904,6.4029,5.484,0.184,25.9147,1.0135,0.4246
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,249,134.0,4.42,-0.376,0.418,32,umpires_call,2.77,parabola,False,no_verdict,no_verdict,no_verdict,no_verdict,no_verdict,,,,,,,,,,
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,250,93.1,2.7,0.316,0.679,42,not_out,2.51,anchored,True,not_out,not_out,not_out,not_out,not_out,True,1.4694,0.3116,1.6918,8.7155,0.5529,1.4728,15.2229,1.039,0.6462
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,250,93.1,2.7,0.316,0.679,42,not_out,2.51,parabola,True,umpires_call,not_out,not_out,umpires_call,umpires_call,False,23.8401,0.8209,78.0852,36.1562,13.2981,1.5066,62.7848,8.9593,0.55
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,251,129.7,6.87,-0.34,0.647,32,not_out,2.56,anchored,True,not_out,not_out,not_out,not_out,not_out,True,8.57,4.1132,5.4255,3.3176,0.3252,2.0257,5.6341,1.2581,0.5762
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,251,129.7,6.87,-0.34,0.647,32,not_out,2.56,parabola,True,umpires_call,not_out,umpires_call,umpires_call,umpires_call,False,1016.541,6.1015,5164.5166,2239.065,2456.2098,36.0181,50.5445,18.4246,0.55
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,252,142.1,2.93,-0.023,0.486,29,umpires_call,2.45,anchored,True,out,out,out,out,out,True,1.0527,8.8589,1.2307,7.1342,2.2878,0.8973,17.995,1.0612,0.617
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,252,142.1,2.93,-0.023,0.486,29,umpires_call,2.45,parabola,True,out,out,out,out,out,False,7.7776,28.3578,2.1509,28.8541,328.5934,0.0374,108.8861,6.1549,0.55
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,253,117.1,7.29,-0.355,0.475,33,not_out,3.16,anchored,True,not_out,not_out,not_out,not_out,not_out,True,1.4524,0.9724,2.7488,2.124,8.2174,0.7967,16.119,0.9889,0.4578
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,253,117.1,7.29,-0.355,0.475,33,not_out,3.16,parabola,True,not_out,not_out,not_out,not_out,not_out,False,157.832,47.7746,0.0,0.0,608.7965,72.4011,74.8881,1000.0,0.55
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,254,138.3,1.36,-0.347,0.499,29,not_out,3.5,anchored,True,not_out,not_out,not_out,not_out,not_out,True,2.0922,0.0573,4.3636,5.0888,14.0311,0.4092,15.7024,0.9438,0.5211
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,254,138.3,1.36,-0.347,0.499,29,not_out,3.5,parabola,True,not_out,not_out,not_out,not_out,not_out,False,0.8737,4.748,15.4504,12.4383,47.219,0.0207,16.579,2.4766,0.55
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,255,146.5,6.77,0.136,0.502,31,umpires_call,2.58,anchored,True,umpires_call,umpires_call,umpires_call,umpires_call,umpires_call,True,0.0814,0.6342,1.0647,3.6891,2.9817,0.0216,19.8979,0.9597,0.4767
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,255,146.5,6.77,0.136,0.502,31,umpires_call,2.58,parabola,True,umpires_call,not_out,umpires_call,umpires_call,umpires_call,False,19.3379,57.3779,8.6268,0.0,212.4721,10.5608,136.7557,9.0752,0.55
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,256,79.8,6.59,-0.01,0.504,51,not_out,2.42,anchored,True,not_out,not_out,not_out,not_out,not_out,True,0.8182,1.9977,1.3474,4.3182,4.1692,3.111,11.8124,1.2084,0.4911
